Tabla 7,512-01-04-01-,INT VALORES PUBLICOS,-14593.42,,,1829.34,-16422.76,,
Tabla 7,512-01-04-01-01-,INT VALORES PUBLICOS,-14593.42,,,1829.34,-16422.76,,
Tabla 7,512-01-04-01-01-01,INT VALORES PUBLICOS,-14593.42,,,1829.34,-16422.76,,
Tabla 7,512-03-,ALQUILERES GANADOS,-369972.15,,,82168.6,-452140.75,,
Tabla 7,512-03-01-,ALQUILERES GANADOS,-369972.15,,,82168.6,-452140.75,,
Tabla 7,512-03-01-01-,ALQUILERES GANADOS,-369972.15,,,82168.6,-452140.75,,
Tabla 7,512-03-01-01-01-,ALQUILERES GANADOS,-369972.15,,,82168.6,-452140.75,,
Tabla 7,512-03-01-01-01-01,ALQUILERES GANADOS,-369972.15,,,82168.6,-452140.75,,
Tabla 7,514-,BENEFICIOS DIVERSOS,-47363277.52,,4950105.06,21058605.4,-63471777.86,,
Tabla 7,514-01-,DIFERENCIAS EN CAMBIO,-47314278.38,,4338643.63,20378997.23,-63354631.98,,
Tabla 7,514-01-01-,SOBRE OPERACIONES TECNICAS,-23875177.4,,4337932.66,10696110.12,-30233354.86,,
Tabla 7,514-01-01-01-,RESERVAS TÉCNICAS,-6655930.78,,4337932.66,6468634.52,-8786632.64,,
Tabla 7,514-01-01-01-01-,RESERVAS MATEMÁTICAS,,,4227475.6,4227475.6,,,
Tabla 7,,,,,1440279.32,1440279.32,,,
Tabla 7,Código,Descripción,Saldo Inicial,Debitos,,Créditos,,Saldo Actual,
Tabla 7,514-01-01-01-01-01,UTILIDAD TECNICA,,1440279.32,,1440279.32,,,
Tabla 7,514-01-01-01-01-03,UTILIDAD TECNICA,,2787196.28,,2787196.28,,,
Tabla 7,514-01-01-01-02-,RESERVAS PARA RIESGOS EN CURSO,-6121585.66,,,2241158.92,,-8362744.58,
Tabla 7,514-01-01-01-02-01,NEGOCIOS NACIONALES,-6121585.66,,,2241158.92,,-8362744.58,
Tabla 7,514-01-01-01-03-,RESERVAS PARA SINIESTROS PENDIENTES DE PAGO,-534345.12,110457.06,,,,-423888.06,
Tabla 7,514-01-01-01-03-01,NEGOCIOS NACIONALES,-534345.12,110457.06,,,,-423888.06,
Tabla 7,514-01-01-03-,OTRAS OPERACIONES TÉCNICAS,-17219246.62,,,4227475.6,,-21446722.22,
Tabla 7,514-01-01-03-01-,NEGOCIOS NACIONALES,-17219246.62,,,4227475.6,,-21446722.22,
Tabla 7,514-01-01-03-01-01,DIFERENCIAL CAMBIARIO TÉCNICO,-17219246.62,,,4227475.6,,-21446722.22,
Tabla 7,514-01-02-,UTILIDAD FINANCIERA,-23439100.98,710.97,,9682887.11,,-33121277.12,
Tabla 7,514-01-02-01-,UTILIDAD FINANCIERA,-23439100.98,710.97,,9682887.11,,-33121277.12,
Tabla 7,514-01-02-01-01-,UTILIDAD FINANCIERA,-23439100.98,710.97,,9682887.11,,-33121277.12,
Tabla 7,514-01-02-01-01-01,POSICIÓN MONEDA EXTRANJERA,-20092189.54,,,9488377.31,,-29580566.85,
Tabla 7,514-01-02-01-01-02,DIFERENCIAL CAMBIARIO ADMINISTRATIVO,-3346911.44,710.97,,28829.8,,-3375030.27,
Tabla 7,514-01-02-01-01-03,FLUCTUACIÓN CAMBIARIA VALORES,,,,165680,,-165680,
Tabla 7,514-02-,DIFERENCIAS EN COBRANZAS,-677.73,611461.43,,611667.58,,-883.88,
Tabla 7,514-02-01-,DIFERENCIAS EN COBRANZAS,-677.73,611461.43,,611667.58,,-883.88,
Tabla 7,514-02-01-01-,DIFERENCIAS EN COBRANZAS,-677.73,611461.43,,611667.58,,-883.88,
Tabla 7,514-02-01-01-01-,DIFERENCIAS EN COBRANZAS,-677.73,611461.43,,611667.58,,-883.88,
Tabla 7,514-02-01-01-01-01,DIFERENCIAS EN COBRANZAS,-677.73,611461.43,,611667.58,,-883.88,
Tabla 7,514-05-,OTROS BENEFICIOS,-48321.41,,,67940.59,,-116262,
Tabla 7,514-05-01-,OTROS BENEFICIOS,-48321.41,,,67940.59,,-116262,
Tabla 7,514-05-01-01-,OTROS BENEFICIOS,-48321.41,,,67940.59,,-116262,
Tabla 7,514-05-01-01-01-,OTROS BENEFICIOS,-48321.41,,,67940.59,,-116262,
Tabla 7,514-05-01-01-01-01,OTROS BENEFICIOS,-48321.41,,,67940.59,,-116262,
Tabla 7,"Activo:                            4,069,830.75                                             Pasivo + Capital:                             ","       4,069,830.75                   Pasivo + Capital:                             -30,549,130.58                                          Egreso - Ingreso:                             26,479,299.83","-30,549,130.58                                          Egreso - Ingreso:                             26,479,299.83",,,,,,
